districtNew,sectionNew,subsectionNew,landNumberNew,districtOld,sectionOld,subsectionOld,landNumberOld
坪林區,保坪,,106,坪林區,坪林,水柳腳,287
坪林區,保坪,,1060,坪林區,坪林,水柳腳,5-17
坪林區,保坪,,1061,坪林區,坪林,水柳腳,5-16
坪林區,保坪,,1062,坪林區,坪林,水柳腳,5-4
坪林區,保坪,,1063,坪林區,坪林,水柳腳,5-3
坪林區,保坪,,1064,坪林區,坪林,水柳腳,5-1
坪林區,保坪,,1065,坪林區,坪林,水柳腳,8-9
坪林區,保坪,,1066,坪林區,坪林,水柳腳,8-10
坪林區,保坪,,1067,坪林區,坪林,水柳腳,8-11
坪林區,保坪,,1068,坪林區,坪林,水柳腳,8-12
坪林區,保坪,,1069,坪林區,坪林,水柳腳,8-1
坪林區,保坪,,107,坪林區,坪林,水柳腳,285
坪林區,保坪,,1070,坪林區,坪林,水柳腳,8-16
坪林區,保坪,,1071,坪林區,坪林,水柳腳,10-1
坪林區,保坪,,1072,坪林區,坪林,水柳腳,10-2
坪林區,保坪,,1073,坪林區,坪林,水柳腳,12-12
坪林區,保坪,,1074,坪林區,坪林,水柳腳,12
坪林區,保坪,,1075,坪林區,坪林,水柳腳,18-2
坪林區,保坪,,1076,坪林區,坪林,水柳腳,12-1
坪林區,保坪,,1077,坪林區,坪林,水柳腳,18-1
坪林區,保坪,,1078,坪林區,坪林,水柳腳,18-11
坪林區,保坪,,1079,坪林區,坪林,水柳腳,12-7
坪林區,保坪,,108,坪林區,坪林,水柳腳,285-1
坪林區,保坪,,1080,坪林區,坪林,水柳腳,17-1
坪林區,保坪,,1081,坪林區,坪林,水柳腳,17-34
坪林區,保坪,,1082,坪林區,坪林,水柳腳,17-35
坪林區,保坪,,1083,坪林區,坪林,水柳腳,17-4
坪林區,保坪,,1084,坪林區,坪林,水柳腳,17-33
坪林區,保坪,,1085,坪林區,坪林,水柳腳,17-2
坪林區,保坪,,1086,坪林區,坪林,水柳腳,21-1
坪林區,保坪,,1087,坪林區,坪林,水柳腳,21-2
坪林區,保坪,,1088,坪林區,坪林,水柳腳,22-3
坪林區,保坪,,1089,坪林區,坪林,水柳腳,22-7
坪林區,保坪,,109,坪林區,坪林,水柳腳,284
坪林區,保坪,,1090,坪林區,坪林,水柳腳,22-1
坪林區,保坪,,1091,坪林區,坪林,水柳腳,24-2
坪林區,保坪,,1092,坪林區,坪林,水柳腳,24-1
坪林區,保坪,,1093,坪林區,坪林,水柳腳,3-12
坪林區,保坪,,1094,坪林區,坪林,坪林,52-5
坪林區,保坪,,1095,坪林區,坪林,坪林,42-19
坪林區,保坪,,1096,坪林區,坪林,坪林,43-1
坪林區,保坪,,1097,坪林區,坪林,坪林,42-17
坪林區,保坪,,1098,坪林區,坪林,坪林,42-1
坪林區,保坪,,1099,坪林區,坪林,坪林,39-14
坪林區,保坪,,11,坪林區,坪林,水柳腳,183-15
坪林區,保坪,,110,坪林區,坪林,水柳腳,286
坪林區,保坪,,1100,坪林區,坪林,坪林,42-16
坪林區,保坪,,1101,坪林區,坪林,坪林,41-1
坪林區,保坪,,1102,坪林區,坪林,坪林,41
坪林區,保坪,,1103,坪林區,坪林,坪林,40-5
坪林區,保坪,,1104,坪林區,坪林,坪林,40-13
坪林區,保坪,,1105,坪林區,坪林,坪林,40-14
坪林區,保坪,,1106,坪林區,坪林,坪林,40-4
坪林區,保坪,,1107,坪林區,坪林,坪林,40-3
坪林區,保坪,,1108,坪林區,坪林,坪林,40-15
坪林區,保坪,,1109,坪林區,坪林,坪林,40-16
坪林區,保坪,,111,坪林區,坪林,水柳腳,277
坪林區,保坪,,1110,坪林區,坪林,坪林,40-12
坪林區,保坪,,1111,坪林區,坪林,坪林,40-17
坪林區,保坪,,1112,坪林區,坪林,坪林,40-11
坪林區,保坪,,1113,坪林區,坪林,坪林,40-10
坪林區,保坪,,1114,坪林區,坪林,坪林,40-9
坪林區,保坪,,1115,坪林區,坪林,坪林,40-8
坪林區,保坪,,1116,坪林區,坪林,坪林,40-7
坪林區,保坪,,1117,坪林區,坪林,坪林,40-6
