districtNew,sectionNew,subsectionNew,landNumberNew,districtOld,sectionOld,subsectionOld,landNumberOld
鶯歌區,三鶯,,1840000,鶯歌區,南靖厝,,2570000
鶯歌區,三鶯,,1850000,鶯歌區,南靖厝,,2630000
鶯歌區,三鶯,,1860000,鶯歌區,南靖厝,,2640000
鶯歌區,三鶯,,1870000,鶯歌區,南靖厝,,2650000
鶯歌區,三鶯,,1880000,鶯歌區,南靖厝,,2620000
鶯歌區,三鶯,,1890000,鶯歌區,南靖厝,,2590000
鶯歌區,三鶯,,190000,鶯歌區,南靖厝,,3080000
鶯歌區,三鶯,,1900000,鶯歌區,南靖厝,,2590001
鶯歌區,三鶯,,1910000,鶯歌區,南靖厝,,2570001
鶯歌區,三鶯,,1920000,鶯歌區,南靖厝,,2580000
鶯歌區,三鶯,,1930000,鶯歌區,南靖厝,,2730000
鶯歌區,三鶯,,1940000,鶯歌區,南靖厝,,2740000
鶯歌區,三鶯,,1950000,鶯歌區,南靖厝,,2750000
鶯歌區,三鶯,,1960000,鶯歌區,南靖厝,,2760000
鶯歌區,三鶯,,1970000,鶯歌區,南靖厝,,2770000
鶯歌區,三鶯,,1980000,鶯歌區,南靖厝,,2780000
鶯歌區,三鶯,,1990000,鶯歌區,南靖厝,,2670000
鶯歌區,三鶯,,20000,鶯歌區,南靖厝,,2940001
鶯歌區,三鶯,,200000,鶯歌區,南靖厝,,3090002
鶯歌區,三鶯,,2000000,鶯歌區,南靖厝,,2680000
鶯歌區,三鶯,,2010000,鶯歌區,南靖厝,,2710000
鶯歌區,三鶯,,2020000,鶯歌區,南靖厝,,2720000
鶯歌區,三鶯,,2030000,鶯歌區,南靖厝,,2700000
鶯歌區,三鶯,,2040000,鶯歌區,南靖厝,,3520000
鶯歌區,三鶯,,2050000,鶯歌區,南靖厝,,3510000
鶯歌區,三鶯,,2060000,鶯歌區,南靖厝,,3530001
鶯歌區,三鶯,,2070000,鶯歌區,南靖厝,,3530000
鶯歌區,三鶯,,2080000,鶯歌區,南靖厝,,3540000
鶯歌區,三鶯,,2090000,鶯歌區,南靖厝,,3550000
鶯歌區,三鶯,,210000,鶯歌區,南靖厝,,3090001
鶯歌區,三鶯,,2100000,鶯歌區,南靖厝,,3560000
鶯歌區,三鶯,,2110000,鶯歌區,南靖厝,,3570000
鶯歌區,三鶯,,2120000,鶯歌區,南靖厝,,3420011
