districtNew,sectionNew,subsectionNew,landNumberNew,districtOld,sectionOld,subsectionOld,landNumberOld
樹林區,三多,,2030000,樹林區,三角埔,,950024
樹林區,三多,,2040000,樹林區,三角埔,,940001
樹林區,三多,,2050000,樹林區,三角埔,,1580000
樹林區,三多,,2060000,樹林區,三角埔,,970038
樹林區,三多,,2070000,樹林區,三角埔,,1630026
樹林區,三多,,2080000,樹林區,三角埔,,1600000
樹林區,三多,,2090000,樹林區,三角埔,,1630015
樹林區,三多,,210000,樹林區,三角埔,,160005
樹林區,三多,,2100000,樹林區,三角埔,,1630008
樹林區,三多,,2110000,樹林區,三角埔,,1620002
樹林區,三多,,2120000,樹林區,三角埔,,1530001
樹林區,三多,,2130000,樹林區,三角埔,,1530003
樹林區,三多,,2140000,樹林區,三角埔,,1460064
樹林區,三多,,2150000,樹林區,三角埔,,1520003
樹林區,三多,,2160000,樹林區,三角埔,,1520004
樹林區,三多,,2170000,樹林區,三角埔,,1520015
樹林區,三多,,2180000,樹林區,三角埔,,1520002
樹林區,三多,,2190000,樹林區,三角埔,,1500000
樹林區,三多,,220000,樹林區,三角埔,,160001
樹林區,三多,,2200000,樹林區,三角埔,,1490013
樹林區,三多,,2210000,樹林區,三角埔,,2320003
樹林區,三多,,2220000,樹林區,三角埔,,2410020
樹林區,三多,,2230000,樹林區,三角埔,,2320001
樹林區,三多,,2240000,樹林區,三角埔,,2450017
樹林區,三多,,2250000,樹林區,三角埔,,2450001
樹林區,三多,,2260000,樹林區,三角埔,,2460010
樹林區,三多,,2270000,樹林區,三角埔,,2370015
樹林區,三多,,2280000,樹林區,三角埔,,2430020
樹林區,三多,,2290000,樹林區,三角埔,,2470017
樹林區,三多,,230000,樹林區,三角埔,,160011
樹林區,三多,,2300000,樹林區,三角埔,,2470003
樹林區,三多,,2310000,樹林區,三角埔,,2430003
樹林區,三多,,2320000,樹林區,三角埔,,2430013
樹林區,三多,,2330000,樹林區,三角埔,,2430011
樹林區,三多,,2340000,樹林區,三角埔,,2430012
樹林區,三多,,2350000,樹林區,三角埔,,2470007
樹林區,三多,,2360000,樹林區,三角埔,,2430004
樹林區,三多,,2370000,樹林區,三角埔,,2470008
